sequence_id,country_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4797163,India,967,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797163/ERR4797163_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797163/ERR4797163_2.fastq.gz",S,S,R,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797106,India,914,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797106/ERR4797106_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797106/ERR4797106_2.fastq.gz",R,S,S,S,I,I,R,R,R,S,R,R,R,Foundation for Medical Research India
ERR4797164,India,958,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797164/ERR4797164_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797164/ERR4797164_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797116,India,913,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797116/ERR4797116_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797116/ERR4797116_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797110,India,933,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797110/ERR4797110_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797110/ERR4797110_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797118,India,908,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797118/ERR4797118_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797118/ERR4797118_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797151,India,941,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797151/ERR4797151_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797151/ERR4797151_2.fastq.gz",S,S,S,S,I,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797056,India,713,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797056/ERR4797056_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797056/ERR4797056_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,R,R,Foundation for Medical Research India
ERR4797092,India,752,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797092/ERR4797092_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797092/ERR4797092_2.fastq.gz",S,S,S,S,S,NA,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797156,India,765,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797156/ERR4797156_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797156/ERR4797156_2.fastq.gz",S,S,S,S,R,I,R,S,S,S,R,R,R,Foundation for Medical Research India
ERR4797155,India,983,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797155/ERR4797155_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797155/ERR4797155_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797152,India,923,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797152/ERR4797152_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797152/ERR4797152_2.fastq.gz",R,S,S,S,R,R,R,R,R,S,R,R,R,Foundation for Medical Research India
ERR4797145,India,961,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797145/ERR4797145_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797145/ERR4797145_2.fastq.gz",S,S,S,S,I,S,R,S,R,S,R,R,S,Foundation for Medical Research India
ERR4797102,India,858,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797102/ERR4797102_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797102/ERR4797102_2.fastq.gz",S,S,S,S,R,I,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797149,India,471,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797149/ERR4797149_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797149/ERR4797149_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797136,India,951,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797136/ERR4797136_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797136/ERR4797136_2.fastq.gz",S,S,S,R,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797159,India,910,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797159/ERR4797159_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797159/ERR4797159_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797160,India,898,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797160/ERR4797160_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797160/ERR4797160_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,Foundation for Medical Research India
